id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass
Auto_023,2361.15,2157.31,2361.23,2157.31,144.02619,43.89059,09h36m06.29s,+43d53m26.1s,24686.0,276636.000,355223.170,568.878,624.43,-13.876,0.002,9.820,0.112,1.1095
Auto_024,1726.37,3839.53,1726.32,3839.53,144.22221,43.21545,09h36m53.33s,+43d12m55.6s,23376.0,259039.000,337723.212,558.058,605.18,-13.821,0.002,9.875,0.112,1.1095
Auto_025,3144.03,3444.03,3144.12,3444.11,144.74443,43.63407,09h38m58.66s,+43d38m02.6s,22712.0,258662.000,340265.710,559.343,608.33,-13.830,0.002,9.867,0.112,1.1095
Auto_026,903.24,308.98,903.24,308.99,142.83736,44.18066,09h31m20.97s,+44d10m50.4s,30616.0,253102.000,303576.894,536.989,565.33,-13.706,0.002,9.991,0.112,1.1095
Auto_027,2932.02,2512.81,2932.15,2512.83,144.38488,43.89315,09h37m32.37s,+43d53m35.4s,21040.0,251617.000,328694.041,549.950,597.68,-13.792,0.002,9.904,0.112,1.1095
Auto_028,1016.80,1723.51,1016.80,1723.54,143.30034,43.75066,09h33m12.08s,+43d45m02.4s,22892.0,232492.000,283093.227,513.219,551.60,-13.630,0.002,10.067,0.112,1.1095
Auto_029,3968.43,23.57,3968.52,23.52,144.13726,44.91308,09h36m32.94s,+44d54m47.1s,22958.0,228707.000,307793.613,533.077,577.39,-13.721,0.002,9.976,0.112,1.1095
Auto_030,1724.57,2055.88,1724.63,2055.88,143.71177,43.79126,09h34m50.82s,+43d47m28.5s,20420.0,210606.000,258845.290,494.019,523.96,-13.533,0.002,10.164,0.112,1.1095
Auto_031,5658.82,2199.47,5658.92,2199.52,145.53453,44.54916,09h42m08.29s,+44d32m57.0s,17701.0,209467.000,310465.872,537.598,577.51,-13.730,0.002,9.966,0.112,1.1095
Auto_032,5250.97,2078.99,5251.17,2078.99,145.31427,44.50671,09h41m15.42s,+44d30m24.2s,17942.0,206359.000,279096.394,512.562,544.51,-13.614,0.002,10.082,0.112,1.1095
Auto_033,5885.49,3859.75,5885.63,3859.84,146.09895,44.05057,09h44m23.75s,+44d03m02.0s,17808.0,200689.000,282130.809,519.027,543.58,-13.626,0.002,10.070,0.112,1.1095
Auto_034,4133.50,3497.67,4133.66,3497.78,145.20557,43.81783,09h40m49.34s,+43d49m04.2s,15944.0,193149.000,272551.095,508.168,536.34,-13.589,0.002,10.108,0.112,1.1095
Auto_035,1777.92,1331.22,1777.94,1331.21,143.52593,44.03617,09h34m06.22s,+44d02m10.2s,19526.0,191597.000,232557.050,472.256,492.44,-13.416,0.002,10.280,0.112,1.1095
Auto_036,3336.35,1565.55,3336.47,1565.56,144.29612,44.28384,09h37m11.07s,+44d17m01.8s,16408.0,189230.000,256045.121,492.678,519.70,-13.521,0.002,10.176,0.112,1.1095
Auto_037,4947.07,3972.91,4947.23,3973.06,145.70529,43.82645,09h42m49.27s,+43d49m35.2s,14949.0,187403.000,262087.613,501.505,522.60,-13.546,0.002,10.150,0.112,1.1095
Auto_038,3360.92,3950.11,3360.99,3950.24,144.98389,43.51370,09h39m56.13s,+43d30m49.3s,15817.0,184629.000,246800.691,485.756,508.08,-13.481,0.002,10.216,0.112,1.1095
Auto_039,3056.16,2763.77,3056.30,2763.80,144.51231,43.83716,09h38m02.96s,+43d50m13.8s,15284.0,180380.000,238305.845,477.141,499.45,-13.443,0.002,10.254,0.112,1.1095
Auto_040,46.23,342.45,46.14,342.49,142.46833,43.98842,09h29m52.40s,+43d59m18.3s,17707.0,174786.000,214538.503,457.085,469.36,-13.329,0.002,10.368,0.112,1.1095
Auto_041,5722.45,403.70,5722.65,403.60,145.05218,45.14692,09h40m12.52s,+45d08m48.9s,17390.0,169986.000,240256.401,482.008,498.45,-13.452,0.002,10.245,0.112,1.1095
Auto_042,4201.46,969.90,4201.58,969.70,144.51805,44.65477,09h38m04.33s,+44d39m17.2s,13230.0,163063.000,240783.856,480.485,501.13,-13.454,0.002,10.242,0.112,1.1095
