ra_deg,dec_deg,b_inst,v_inst,b_cat,v_cat,color_inst,color_cat,diff_b,diff_v
143.80655,44.54688,-10.42039,-11.2079,13.61614435100928,13.047775393007324,0.787510000000001,0.5683689580019564,24.03653435100928,24.255675393007323
144.30545,44.67275,-10.43639,-11.1019,13.629165136410156,13.156513928376953,0.6655100000000012,0.47265120803320393,24.065555136410154,24.258413928376953
145.00569,43.44589,-10.41639,-11.5899,13.637159764185547,12.700151761583985,1.1735100000000003,0.9370080026015621,24.053549764185547,24.290051761583985
144.74384,44.7842,-10.408389999999999,-11.1989,13.625449859533692,13.050755298657226,0.7905100000000012,0.5746945608764662,24.033839859533693,24.249655298657224
145.20137,43.87111,-10.40039,-11.1169,13.648551684786623,13.134927542006102,0.7165099999999995,0.5136241427805217,24.048941684786623,24.2518275420061
143.83445,44.46372,-10.392389999999999,-11.2629,13.660431004000493,13.01498885514697,0.8705100000000012,0.6454421488535225,24.052821004000492,24.27788885514697
145.21162,44.23342,-10.425389999999998,-11.2929,13.632158523217774,12.962380600146485,0.8675100000000011,0.6697779230712886,24.057548523217772,24.255280600146484
143.32363,43.55071,-10.328389999999999,-10.9949,13.722372060754395,13.289573540698242,0.6665100000000006,0.4327985200561528,24.050762060754394,24.284473540698244
143.18103,44.13623,-10.331389999999999,-11.1759,13.719301293143072,13.106620849247557,0.8445100000000014,0.6126804438955151,24.05069129314307,24.282520849247557
144.06078,43.38792,-10.29839,-11.0499,13.744143548597174,13.217896426385007,0.7515099999999997,0.5262471222121672,24.042533548597174,24.267796426385004
143.56178,43.64801,-10.30839,-11.2069,13.741622167565918,13.082428486834717,0.8985099999999999,0.6591936807312013,24.050012167565917,24.289328486834716
143.96259,44.61889,-10.332389999999998,-11.3919,13.715023541766117,12.886976270041014,1.0595100000000013,0.8280472717251026,24.047413541766115,24.278876270041014
144.92914,44.09212,-10.315389999999999,-11.0799,13.70698928158301,13.173377234971435,0.7645100000000014,0.5336120466115748,24.022379281583007,24.253277234971435
143.72303,44.65588,-10.31439,-11.3269,13.733808185030764,12.95580004719409,1.0125100000000007,0.7780081378366734,24.048198185030763,24.28270004719409
143.59131,43.33839,-10.29539,-11.3429,13.790258234740236,12.957946703552736,1.0475100000000008,0.8323115311875,24.085648234740233,24.300846703552736
144.44318,44.27141,-10.274389999999999,-11.2679,13.805302329686528,12.999624992535885,0.9935100000000006,0.8056773371506427,24.079692329686527,24.267524992535883
143.24932,43.4955,-10.29239,-11.1839,13.807805137303717,13.125320999310789,0.8915100000000002,0.6824841379929278,24.100195137303714,24.30922099931079
143.43468,44.15661,-10.235389999999999,-11.0879,13.802034133001712,13.17456337020569,0.8525100000000005,0.6274707627960225,24.03742413300171,24.262463370205687
143.62506,43.20639,-10.270389999999999,-11.0589,13.793594431639647,13.226278902649414,0.7885100000000005,0.5673155289902336,24.063984431639646,24.285178902649413
145.4688,44.37959,-10.293389999999999,-11.1069,13.76637629695215,13.142075752280762,0.8135100000000008,0.624300544671387,24.059766296952148,24.248975752280764
144.08455,44.0951,-10.20239,-11.0259,13.808613388446291,13.220209102438233,0.8235100000000006,0.5884042860080587,24.01100338844629,24.246109102438233
143.54282,44.07479,-10.178389999999998,-11.0999,13.854928053686526,13.179856209362793,0.9215100000000014,0.6750718443237336,24.033318053686525,24.279756209362795
145.18974,43.79,-10.24439,-11.1769,13.774143646006836,13.094836204645508,0.9325100000000006,0.6793074413613276,24.018533646006837,24.271736204645507
144.82486,43.66684,-10.21439,-11.280899999999999,13.900807931734379,12.987343783461423,1.0665099999999992,0.913464148272956,24.11519793173438,24.268243783461422
145.14297,44.46332,-10.255389999999998,-11.030899999999999,15.194985905274415,13.661839299865235,0.7755100000000006,1.5331466054091791,25.450375905274413,24.692739299865234
144.02804,44.672,-10.18339,-11.152899999999999,13.879231143534184,13.121420568674804,0.9695099999999996,0.7578105748593806,24.062621143534184,24.274320568674803
