file,jd,hjd,airmass,mag,mag_err,snr,zp_avg,zp_err,n_ensemble,flag
corr_Master_L_AE_00025.fits,2461142.3662668234,2461142.3679932137,1.0793607099107,10.959003133388912,0.010229055296034791,504.37304446193775,24.681605353108626,0.01,1,OK
corr_Master_L_AE_00026.fits,2461142.3676613597,2461142.3693876355,1.08099082335896,10.90276525317992,0.010210507167218037,526.3659510187053,24.69544716841868,0.01,1,OK
corr_Master_L_AE_00027.fits,2461142.36905599,2461142.3707821514,1.08263099896185,10.869917796646364,0.010202620433652667,536.6169238778044,24.698489434686113,0.01,1,OK
corr_Master_L_AE_00028.fits,2461142.3704505954,2461142.3721766425,1.08429678341501,10.843999748837978,0.010186144409801192,560.0904282593109,24.703287693484334,0.01,1,OK
corr_Master_L_AE_00029.fits,2461142.371845325,2461142.373571257,1.08606605482056,10.858993498129275,0.010196803601635687,544.5678470000001,24.687631338705856,0.01,1,OK
corr_Master_L_AE_00030.fits,2461142.3732401147,2461142.374965932,1.08783965316807,10.884118618727936,0.010215160724002827,520.5827101708451,24.68300698519976,0.01,1,OK
corr_Master_L_AE_00031.fits,2461142.374634417,2461142.3763601203,1.08961606836781,10.91245033026806,0.010242532700877903,489.9956916811554,24.67690300977155,0.01,1,OK
corr_Master_L_AE_00032.fits,2461142.3760290346,2461142.3777546235,1.09143574488293,10.920496050861065,0.01022660274206739,507.12589243260294,24.67519563259887,0.01,1,OK
corr_Master_L_AE_00033.fits,2461142.3774236236,2461142.3791490984,1.09333717763322,10.946185512919214,0.010247181088343266,485.3107755013546,24.64595982804816,0.01,1,OK
corr_Master_L_AE_00034.fits,2461142.378817279,2461142.380542639,1.09524506477338,10.98315404337301,0.010247070417934425,485.4207827625715,24.672124938094285,0.01,1,OK
corr_Master_L_AE_00035.fits,2461142.3802119605,2461142.381937206,1.09716215285882,11.018007805265006,0.010249188176588027,483.328398753934,24.665401275899306,0.01,1,OK
corr_Master_L_AE_00036.fits,2461142.381606666,2461142.383331797,1.09911593544675,11.034691882851412,0.010247758367070195,484.7381467565061,24.661434505392556,0.01,1,OK
corr_Master_L_AE_00037.fits,2461142.38459452,2461142.3863194063,1.10348861636086,11.097921307089896,0.010295881759824889,443.0439181859861,24.632143370430338,0.01,1,OK
corr_Master_L_AE_00038.fits,2461142.3875340736,2461142.389258718,1.1079091082848,11.14823345684074,0.010296102454223528,442.8763723018509,24.664043207123996,0.01,1,OK
corr_Master_L_AE_00039.fits,2461142.3904304043,2461142.392154811,1.11249710790621,11.200369579403809,0.01028493170236829,451.59869316633245,24.728091066249824,0.01,1,OK
corr_Master_L_AE_00040.fits,2461142.391825467,2461142.3935497594,1.11471289833428,11.216611463674957,0.010267857562629193,465.96571130813527,24.732644025901877,0.01,1,OK
corr_Master_L_AE_00041.fits,2461142.393220342,2461142.3949445197,1.11697825831461,11.245594854265518,0.010271957626642148,462.39312870589333,24.73688258384974,0.01,1,OK
corr_Master_L_AE_00042.fits,2461142.3946152083,2461142.396339271,1.11930904907334,11.254691995095012,0.01027284660666389,461.62911520245336,24.73241065550239,0.01,1,OK
corr_Master_L_AE_00043.fits,2461142.3960090005,2461142.397732949,1.12169739383428,11.262053559588665,0.01030039453063637,439.65456626248346,24.70969614524347,0.01,1,OK
corr_Master_L_AE_00044.fits,2461142.3974037655,2461142.3991275993,1.12407150738602,11.287564010915238,0.010280266701461193,455.3939490401636,24.738596341101328,0.01,1,OK
corr_Master_L_AE_00045.fits,2461142.3987986348,2461142.400522354,1.12647665483438,11.303510667355939,0.010286472755236586,450.3652822866543,24.727149922077537,0.01,1,OK
corr_Master_L_AE_00046.fits,2461142.4001935637,2461142.4019171684,1.12896358013999,11.321273598356644,0.010302555627486646,438.0582518548706,24.71987967896512,0.01,1,OK
corr_Master_L_AE_00047.fits,2461142.401588246,2461142.4033117364,1.13150974383316,11.331116417052918,0.0103328382027102,417.3440741281231,24.714286710122423,0.01,1,OK
