id,ra_deg,dec_deg,V_mag,B_mag,raw_g,raw_r,raw_G,raw_BP,raw_RP
online_0,144.37467925,43.8247794,13.874290344234492,14.563132202156018,14.119000434875488,13.670999526977539,nan,nan,nan
online_1,144.42440119,43.83400204,17.549343589430645,18.462806717623085,17.900999069213867,17.242000579833984,nan,nan,nan
online_2,144.45078765,43.83766896,16.311529299121087,17.05022079018556,16.579999923706055,16.084999084472656,nan,nan,nan
online_3,144.42518612,43.85708252,16.809820724658202,17.363438003198247,16.989999771118164,16.670000076293945,nan,nan,nan
online_4,144.39691744,43.84442832,15.18547838393115,16.081835804159187,15.529000282287598,14.88599967956543,nan,nan,nan
online_5,144.43263507,43.8568693,14.952645249633788,15.670110654296877,15.211000442504883,14.736000061035156,nan,nan,nan
online_6,144.28279792,43.82979406,16.75907565455322,17.572207623388678,17.062999725341797,16.49799919128418,nan,nan,nan
online_7,144.28851928,43.82971712,17.212765257218734,18.549212252896517,17.764999389648438,16.714000701904297,nan,nan,nan
online_8,144.24048518,43.86885313,17.839862992426266,19.051458188731456,18.33300018310547,17.39699935913086,nan,nan,nan
online_9,144.31757489,43.8464252,16.60006799683301,17.226481636338868,16.815000534057617,16.426000595092773,nan,nan,nan
online_10,144.31785651,43.87316325,13.95748182157275,14.70466730015284,14.229999542236328,13.72700023651123,nan,nan,nan
online_11,144.34716265,43.89221533,15.338035565653808,16.726784764688478,15.914999961853027,14.815999984741211,nan,nan,nan
online_12,144.38539166,43.89344108,10.256653035127442,10.860887243343749,10.461000442504883,10.093000411987305,nan,nan,nan
online_13,144.4090275,43.93641929,17.43211330510254,18.664291822412114,17.934999465942383,16.979999542236328,nan,nan,nan
online_14,144.31344605,43.88441807,17.037939225598123,17.792559842260786,17.31399917602539,16.804000854492188,nan,nan,nan
online_15,144.35273998,43.94443429,16.582499780818353,18.073992625863294,17.20800018310547,16.014999389648438,nan,nan,nan
online_16,144.35529625,43.94313049,12.87402590471191,13.82602919948731,13.244000434875488,12.548999786376953,nan,nan,nan
