id,ra_deg,dec_deg,V_mag,B_mag,raw_g,raw_r,raw_G,raw_BP,raw_RP
online_22,144.3527433656,43.94443453181,15.103389901729674,17.037015301890307,nan,nan,15.655001,16.84417,14.564598
online_23,144.32168017449,43.94407962745,11.44508021057566,12.53270495171924,nan,nan,11.635154,12.134901,10.974335
online_24,144.5160265679,43.87861957694,17.457512357171794,19.78263519702027,nan,nan,18.183352,19.744545,16.96392
online_25,144.55671382378,43.87907060149,17.80721190013507,20.209240897384593,nan,nan,18.565378,20.23639,17.358644
online_26,144.60129734687,43.9148101954,14.660247679035303,16.525626842707908,nan,nan,15.180636,16.312275,14.121168
online_27,144.56379772914,43.92302311883,14.82337046339555,16.87972211711066,nan,nan,15.430803,16.737597,14.29977
online_28,144.47404426877,43.88138421394,17.869304460246482,18.894716764915913,nan,nan,18.037764,18.486048,17.409605
online_29,144.49595034759,43.89891413679,17.029012114258194,18.985161656545387,nan,nan,17.59091,18.80571,16.497013
online_30,144.65387495614,43.95970434741,17.572391900945455,19.496010408839293,nan,nan,18.119429,19.312588,17.045967
online_31,144.59454642166,43.95305103525,16.556566079064954,18.379798274011634,nan,nan,17.057663,18.152866,16.016556
online_32,144.58038710537,43.9704973495,17.476272403474162,18.41351612100194,nan,nan,17.616089,18.017937,17.061117
online_33,144.57488620446,43.98334577103,16.474998336074602,18.3670117438165,nan,nan,17.007578,18.161043,15.935372
online_34,144.59012312349,44.02628679933,15.381633196375514,16.269549184056075,nan,nan,15.506532,15.862655,14.972963
online_35,144.58330391629,44.02952018329,16.4905425055848,18.05470859384555,nan,nan,16.874447,17.744305,15.947519
online_36,144.62644835309,44.02872616862,15.607930132162686,16.455227884424392,nan,nan,15.721185,16.053335,15.219026
online_37,144.66769113318,44.04089512377,17.030465511575034,17.97035026069968,nan,nan,17.171104,17.568974,16.608564
online_38,144.63936747868,44.0607412409,17.98539738127282,19.926995278126835,nan,nan,18.540651,19.348637,17.058752
online_39,144.61758716755,44.05625452587,14.604263687365794,15.400763343235473,nan,nan,14.703814,15.002478,14.237567
online_40,144.65196998669,44.07696268477,14.227177730146899,15.023665686820715,nan,nan,14.326725,14.628055,13.86316
online_41,144.6538676482,44.08614778353,16.43805898349032,17.505721387228288,nan,nan,16.621078,17.110945,15.977346
online_42,144.44407288146,43.9442460421,16.70264452604003,17.52347851074088,nan,nan,16.808638,17.125584,16.32741
online_43,144.40906962891,43.95297228475,16.79743958313375,18.856590415311334,nan,nan,17.406137,18.714516,16.273092
online_44,144.44787445209,43.95754026597,17.943910569242814,20.5181555385265,nan,nan,18.770975,20.568222,17.474571
online_45,144.46775957998,43.98698404083,16.80585329851238,18.980515885498036,nan,nan,17.466263,18.886274,16.296906
online_46,144.452878301,43.99043556482,17.594145202508923,18.424269434087975,nan,nan,17.702658,18.017336,17.206472
online_47,144.48436603916,43.98246566754,17.184795634901487,17.83162158592859,nan,nan,17.250004,17.465267,16.905684
online_48,144.52833272027,44.02852322852,17.728346478700427,19.759871693272665,nan,nan,18.324541,19.62096,17.21506
online_49,144.40691881753,43.97019279047,16.821239743720334,18.187223678353536,nan,nan,17.119627,17.83292,16.298931
online_50,144.43159256201,44.0437752876,16.944132565931373,17.715994687678986,nan,nan,17.037394,17.323925,16.592726
online_51,144.54729841943,44.02653849063,17.613634650822647,19.0365427065741,nan,nan,17.936033,18.731277,17.121538
online_52,144.56112866585,44.03518095522,15.85137800443384,16.602632730854,nan,nan,15.939565,16.208702,15.505727
online_53,144.61503394658,44.07331169104,14.870631106019557,15.780618636878406,nan,nan,15.002102,15.373349,14.453603
online_54,144.62969009148,44.08936032928,17.011485104700373,18.451090492127836,nan,nan,17.34102,18.125528,16.49361
online_55,144.58683164821,44.08998154726,16.87970964388085,17.732616686189818,nan,nan,16.994537,17.336649,16.494686
online_56,144.60372174198,44.12622089029,11.785842975362204,12.82105663448219,nan,nan,11.957634,12.421361,11.331649
online_57,144.6206957539,44.14533809752,16.786216552478102,18.098422369825546,nan,nan,17.062418,17.737114,16.274883
online_58,144.53302513339,44.07894740062,15.227868133868954,16.766943047272743,nan,nan,15.600677,16.445734,14.682075
online_59,144.60091531676,44.13158196309,17.047025013555757,18.76842285939297,nan,nan,17.501646,18.508865,16.505465
online_60,144.60918556912,44.15065933004,16.400137224944025,18.090034174660012,nan,nan,16.84046,17.822775,15.860634
online_61,144.59893481026,44.15057880815,11.30013833560828,12.355866937193534,nan,nan,11.478993,11.956145,10.838679
online_62,144.55058642732,44.14215152097,16.923791770496297,18.07126416832706,nan,nan,17.135654,17.681633,16.440367
online_63,144.58581568196,44.17696724723,17.4788614291632,19.261033735574166,nan,nan,17.961185,18.287357,16.20455
online_64,144.5859339793,44.17702057137,17.5236313459595,19.29091087522715,nan,nan,17.999155,18.25697,16.193598
online_65,144.57952152044,44.17816408514,17.389236037054125,18.958782504889108,nan,nan,17.775528,18.62803,16.824146
online_66,144.57323753219,44.17045948019,16.61102062478644,17.833856575234417,nan,nan,16.85158,17.448158,16.105589
online_67,144.1864192163,43.87308974119,17.243518921595488,18.225456504794263,nan,nan,17.39755,17.834076,16.816559
online_68,144.18003589289,43.8831658194,17.569420475435425,18.59944151550693,nan,nan,17.739443,18.20885,17.126167
online_69,144.20196942201,43.858113617,17.731749267917234,19.648296475731495,nan,nan,18.275553,19.44849,17.191025
online_70,144.20894660416,43.8637634356,17.36398141418097,18.26089855466003,nan,nan,17.49154,17.86102,16.959068
online_71,144.17396684996,43.9050666559,17.782828445432397,19.591770040908912,nan,nan,18.277388,19.353168,17.235466
online_72,144.20227358059,43.92885962103,16.29874694024452,17.959411325757188,nan,nan,16.72585,17.688795,15.765003
online_73,144.10087191663,43.91515781598,14.552369310809693,15.785932317183574,nan,nan,14.797119,15.410573,14.053614
